date,governor,inflation,kpif,konsumentpris,producentpris,energipris,oljepris,råvarupris,utbudsstörning,kron,växelkurs,tillväxt,resursutnyttjande,sysselsättning,konjunktur,finansiella,bnp,skuldsättning,bostadsmarknad,arbets,real,geopolitisk,handelskonflikt,handelshinder,tullar,protektionis,osäkerhet,krig,invasion,Total
2018-10-23,Kerstin af Jochnick,12,3,0,0,2,0,0,0,13,1,0,1,0,7,0,0,1,5,2,3,0,0,1,0,0,5,0,0,1097
2018-10-23,Stefan Ingves,19,2,0,0,0,0,0,0,7,4,12,1,1,5,3,2,0,0,6,4,0,1,0,0,0,3,0,0,1406
2018-10-23,Per Jansson,50,10,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,1,0,0,1240
2018-10-23,Martin Flodén,34,3,0,0,1,0,0,0,0,1,0,4,0,8,2,0,0,1,0,0,0,1,0,0,0,0,0,0,951
2018-10-23,Henry Ohlsson,22,12,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,18,1,0,0,1,1,1,1,0,0,1142
2018-10-23,Cecilia Skingsley,17,0,0,0,0,0,0,0,0,0,5,0,0,6,1,0,0,0,2,0,0,1,0,2,0,2,0,0,808
2018-04-25,Kerstin af Jochnick,16,2,0,0,2,0,0,0,2,1,5,2,0,2,3,0,1,2,2,3,1,0,3,1,0,3,1,0,1109
2018-04-25,Martin Flodén,32,9,0,0,2,0,0,0,13,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,0,897
2018-04-25,Per Jansson,35,12,0,0,10,0,0,0,7,5,2,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1187
2018-04-25,Stefan Ingves,21,3,0,0,0,0,0,0,5,1,6,2,1,1,1,1,0,1,4,1,1,0,1,0,0,0,0,0,1004
2018-04-25,Henry Ohlsson,15,4,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1166
2018-04-25,Cecilia Skingsley,13,1,0,0,0,0,0,0,9,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,528
2023-04-25,Aino Bunge,23,4,0,0,3,0,0,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,0,0,1406
2023-04-25,Martin Flodén,25,2,2,1,1,0,0,0,6,2,1,1,3,4,4,5,1,0,1,2,0,0,0,0,0,1,0,0,1766
2023-04-25,Anna Breman,30,3,0,0,3,0,0,0,4,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,1,1579
2023-04-25,Erik Thedéen,38,0,0,0,0,0,0,0,3,2,3,0,1,2,5,0,0,1,7,1,0,0,0,0,0,3,0,0,1894
2023-04-25,Per Jansson,53,5,0,0,15,0,0,0,2,1,0,0,0,0,3,0,0,0,4,1,0,0,0,0,0,1,0,0,1737
2024-11-06,Aino Bunge,9,1,0,0,2,0,0,0,4,2,0,0,0,4,0,0,0,0,1,1,1,0,1,0,0,5,0,0,882
2024-11-06,Per Jansson,8,0,0,0,0,0,0,0,4,2,1,0,0,6,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1241
2024-11-06,Anna Breman,25,0,0,0,1,0,0,0,5,1,3,0,1,3,3,0,0,0,2,1,2,0,3,1,1,4,0,0,1241
2024-11-06,Anna Seim,11,0,0,0,0,0,0,0,3,1,1,1,1,2,1,0,0,0,0,3,1,0,0,0,0,3,0,0,896
2024-11-06,Erik Thedéen,10,0,1,0,0,0,0,0,3,0,3,0,1,5,0,0,0,0,2,1,0,0,0,0,0,2,0,0,770
2020-11-25,Stefan Ingves,11,0,0,0,0,0,0,0,4,1,9,0,0,1,2,8,1,4,5,0,0,0,0,0,0,6,0,0,1787
2020-11-25,Per Jansson,50,8,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1649
2020-11-25,Cecilia Skingsley,10,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,2,0,0,1031
2020-11-25,Henry Ohlsson,9,3,1,0,0,0,0,0,3,0,0,0,0,1,2,3,0,0,11,1,0,0,0,0,0,0,0,0,1019
2020-11-25,Anna Breman,11,2,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1237
2020-11-25,Martin Flodén,6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,1497
2021-09-20,Per Jansson,60,10,0,0,13,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,1735
2021-09-20,Martin Flodén,35,3,1,0,4,0,0,0,2,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1047
2021-09-20,Henry Ohlsson,15,7,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,14,0,0,0,0,0,0,0,0,0,915
2021-09-20,Cecilia Skingsley,14,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,894
2021-09-20,Anna Breman,22,4,0,0,5,3,0,0,1,0,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1034
2021-09-20,Stefan Ingves,27,4,0,0,2,0,0,1,1,0,11,2,2,1,1,2,0,1,7,0,0,0,0,0,0,1,0,0,1238
2017-02-14,Martin Flodén,22,4,0,0,0,0,0,0,3,1,1,6,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,950
2017-02-14,Stefan Ingves,22,3,0,0,0,0,0,0,8,3,2,0,0,10,1,0,2,2,0,0,0,0,0,0,1,7,0,0,1462
2017-02-14,Kerstin af Jochnick,16,1,0,0,0,0,0,0,3,2,3,1,2,4,0,1,5,3,2,0,0,0,0,0,0,2,0,0,866
2017-02-14,Cecilia Skingsley,16,2,0,0,1,0,0,0,4,0,2,1,0,2,7,0,2,1,0,0,0,0,0,0,0,2,0,0,946
2017-02-14,Per Jansson,29,9,0,0,4,0,0,0,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1256
2017-02-14,Henry Ohlsson,10,1,0,0,0,0,0,0,0,0,2,1,0,2,0,2,0,0,14,2,0,0,0,0,0,0,0,0,614
2021-11-24,Per Jansson,61,12,2,0,6,0,0,0,2,1,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,1952
2021-11-24,Anna Breman,32,1,0,0,3,0,0,1,0,0,3,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1160
2021-11-24,Cecilia Skingsley,24,5,1,1,8,0,0,1,0,0,1,0,0,4,1,0,0,0,1,4,0,0,0,0,0,0,0,0,1106
2021-11-24,Stefan Ingves,23,3,0,0,3,0,0,1,2,0,6,0,1,0,3,0,0,0,8,0,0,0,0,0,0,3,0,0,1204
2021-11-24,Henry Ohlsson,21,6,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,11,0,0,0,0,0,0,1,0,0,916
2021-11-24,Martin Flodén,25,0,0,0,4,0,0,0,5,0,0,0,0,2,5,0,0,1,2,1,0,0,0,0,0,4,0,0,1682
2017-12-19,Cecilia Skingsley,6,0,0,0,0,0,0,0,2,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,956
2017-12-19,Kerstin af Jochnick,12,2,0,0,0,0,0,0,2,0,6,2,0,4,1,1,2,7,1,0,1,0,0,0,0,2,0,0,933
2017-12-19,Per Jansson,27,3,0,0,5,0,0,0,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1496
2017-12-19,Martin Flodén,10,2,0,0,1,0,0,0,1,1,3,1,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,963
2017-12-19,Stefan Ingves,24,4,0,0,2,1,0,0,4,0,5,7,3,12,0,1,0,3,1,1,0,0,0,0,0,0,0,0,1200
2017-12-19,Henry Ohlsson,12,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,816
2019-04-24,Stefan Ingves,14,2,0,0,0,0,0,0,1,3,13,1,0,4,0,2,2,2,2,2,0,1,0,0,0,2,0,0,1083
2019-04-24,Cecilia Skingsley,13,0,0,0,0,0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,892
2019-04-24,Kerstin af Jochnick,24,2,0,0,3,0,0,0,0,0,8,1,0,1,1,1,0,1,2,3,0,1,0,0,0,0,0,0,1094
2019-04-24,Martin Flodén,23,0,0,0,0,1,0,0,5,1,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1328
