date,governor,inflation,ränta ,sysselsättning,pris ,växelkurs,skuld,belåning,Total
2020-04-27,Cecilia Skingsley,4,1,0,0,0,0,0,887
2020-04-27,Henry Ohlsson,1,0,1,0,0,0,0,1125
2020-04-27,Martin Flodén,7,3,0,0,2,2,0,1145
2020-04-27,Per Jansson,47,1,0,0,0,0,0,1784
2020-04-27,Anna Breman,9,2,0,0,1,0,0,1558
2020-04-27,Stefan Ingves,9,0,0,0,0,1,0,1380
2023-06-28,Anna Breman,17,0,1,0,0,1,0,1307
2023-06-28,Per Jansson,56,0,0,0,3,0,0,2067
2023-06-28,Aino Bunge,27,0,2,0,3,0,0,1276
2023-06-28,Martin Flodén,16,0,0,0,1,0,0,1175
2023-06-28,Erik Thedéen,24,1,1,0,5,0,0,1650
